,#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Cases/1M pop,Death1m,TotalTest,Test1MPeople,population,region,1CaseEveryXPPL,1DeathEveryXPPL,1TestEveryXPPL,temp,X,Y
1,,"
North America
","63,029,155","+10,415","1,235,079",+91,"49,696,842","+1,785","12,097,234","21,766",,,,,,North America,"
",,,,,
2,,"
Asia
","84,142,306","+59,222","1,248,809",+698,"81,469,165","+70,637","1,424,332","29,429",,,,,,Asia,"
",,,,,
3,,"
South America
","39,456,644","+1,170","1,190,542",+21,"37,402,821","+2,645","863,281","12,641",,,,,,South America,"
",,,,,
4,,"
Europe
","83,415,659","+148,636","1,509,232","+1,718","72,791,362","+173,314","9,115,065","22,582",,,,,,Europe,"
",,,,,
5,,"
Africa
","9,559,857","+15,189","227,749",+80,"8,554,843","+14,634","777,265","1,742",,,,,,Africa,"
",,,,,
6,,"
Oceania
","463,515","+8,814","4,450",+3,"374,304",+239,"84,761",176,,,,,,Australia/Oceania,"
",,,,,
7,,"

",721,,15,,706,,0,0,,,,,,,"
36,28,Romania,"1,802,745",+349,"58,551 ",+15,"1,732,591",+588,"11,603",443,"94,644","3,074","16,902,077","887,361","19,047,572 ",Europe,11,325,1,18,0.8,609
37,29,Chile,"1,800,280","+1,155","39,034 ",+21,"1,715,430","+2,645","45,816",552,"92,994","2,016","27,130,137","1,401,414","19,359,116 ",South America,11,496,1,60,1,"2,367"
38,30,Japan,"1,731,515",+316,"18,387 ",+1,"1,711,072",+128,"2,056",38,"13,753",146,"29,132,328","231,387","125,902,937 ",Asia,73,"6,847",4,3,0.01,16
39,31,Vietnam,"1,651,673","+15,218","31,214 ",+207,"1,248,240","+18,556","372,219","7,582","16,745",316,"73,996,693","750,207","98,635,054 ",Asia,60,"3,160",1,154,2,"3,774"
40,32,Bangladesh,"1,583,253",+268,"28,060 ",+4,"1,547,427",+247,"7,766","1,352","9,474",168,"11,393,025","68,174","167,118,031 ",Asia,106,"5,956",15,2,0.02,46
41,33,Israel,"1,364,966","+1,135","8,242 ",,"1,343,968",+288,"12,756",98,"146,361",884,"37,741,674","4,046,931","9,326,000 ",Asia,7,"1,132",0,122,,"1,368"
42,34,Pakistan,"1,293,440",+359,"28,907 ",+2,"1,254,859",+446,"9,674",631,"5,692",127,"23,148,807","101,871","227,235,429 ",Asia,176,"7,861",10,2,0.01,43
43,35,Serbia,"1,290,469",+976,"12,594 ",+26,"1,256,219","+1,651","21,656",99,"148,582","1,450","7,158,932","824,264","8,685,237 ",Europe,7,690,1,112,3,"2,493"
44,36,Portugal,"1,279,785","+3,732","18,874 ",+13,"1,159,192","+1,594","101,719",151,"126,054","1,859","25,162,551","2,478,417","10,152,669 ",Europe,8,538,0,368,1,"10,019"
45,37,Sweden,"1,273,313",,"15,229 ",,"1,183,577","+2,115","74,507",92,"124,926","1,494","14,208,757","1,394,040","10,192,504 ",Europe,8,669,1,,,"7,310"
46,38,Austria,"1,264,553","+1,717","13,634 ",+8,"1,221,433","+2,828","29,486",383,"139,230","1,501","120,214,287","13,235,834","9,082,487 ",Europe,7,666,0,189,0.9,"3,246"
47,39,Hungary,"1,237,330",,"38,307 ",,"1,071,772",,"127,251",454,"128,567","3,980","9,058,668","941,257","9,624,016 ",Europe,8,251,1,,,"13,222"
48,40,Switzerland,"1,221,424",,"12,128 ",,"967,497","+8,433","241,799",302,"139,618","1,386","13,812,799","1,578,908","8,748,325 ",Europe,7,721,1,,,"27,639"
49,41,Greece,"1,074,869","+4,036","20,429 ",+79,"992,309","+5,678","62,131",624,"103,876","1,974","45,229,958","4,371,043","10,347,634 ",Europe,10,507,0,390,8,"6,004"
50,42,Jordan,"1,051,421",,"12,444 ",,"993,692",,"45,285","1,077","101,556","1,202","13,308,004","1,285,417","10,353,065 ",Asia,10,832,1,,,"4,374"
51,43,Kazakhstan,"985,857",+399,"12,974 ",+5,"957,267",+633,"15,616",528,"51,591",679,"11,575,012","605,733","19,109,097 ",Asia,19,"1,473",2,21,0.3,817
52,44,Cuba,"964,729",+122,"8,320 ",,"955,864",+66,545,10,"85,251",735,"11,536,661","1,019,466","11,316,376 ",North America,12,"1,360",1,11,,48
53,45,Morocco,"956,119",+532,"14,828 ",+1,"937,705",+127,"3,586",103,"25,457",395,"10,760,434","286,502","37,558,035 ",Africa,39,"2,533",3,14,0.03,95
54,46,Georgia,"924,368","+1,661","13,512 ",+69,"881,863","+3,841","28,993",,"232,380","3,397","12,725,000","3,198,984","3,977,825 ",Asia,4,294,0,418,17,"7,289"
55,47,Nepal,"827,271",+213,"11,585 ",+2,"810,780",+283,"4,906",114,"27,657",387,"4,820,530","161,157","29,911,932 ",Asia,36,"2,582",6,7,0.07,164
56,48,Slovakia,"825,629",+383,"16,398 ",+62,"758,521","+4,867","50,710",482,"151,116","3,001","5,037,243","921,971","5,463,559 ",Europe,7,333,1,70,11,"9,281"
57,49,UAE,"751,333","+1,803","2,158 ",+2,"741,325",+618,"7,850",,"74,631",214,"109,285,607","10,855,556","10,067,251 ",Asia,13,"4,665",0,179,0.2,780
58,50,Bulgaria,"733,882",,"30,528 ",,"605,547",,"97,807",451,"106,809","4,443","7,288,944","1,060,835","6,870,953 ",Europe,9,225,1,,,"14,235"
59,51,Tunisia,"722,795",,"25,523 ",,"695,094",,"2,178",79,"60,225","2,127","3,317,178","276,393","12,001,662 ",Africa,17,470,4,,,181
60,52,Ireland,"715,726","+10,404","5,890 ",,"545,638","+4,619","164,198",91,"142,591","1,173","9,736,837","1,939,833","5,019,421 ",Europe,7,852,1,"2,073",,"32,713"
61,53,Lebanon,"711,259",,"9,027 ",,"652,174",,"50,058",186,"104,903","1,331","4,795,578","707,295","6,780,167 ",Asia,10,751,1,,,"7,383"
62,54,Denmark,"699,608","+14,200","3,210 ",+13,"551,192","+5,979","145,206",73,"120,158",551,"104,988,220","18,031,756","5,822,407 ",Europe,8,"1,814",0,"2,439",2,"24,939"
63,55,Belarus,"693,584",+983,"5,499 ",+15,"686,275","+1,236","1,810",,"73,436",582,"10,959,782","1,160,414","9,444,719 ",Europe,14,"1,718",1,104,2,192
64,56,Croatia,"693,253",+151,"12,325 ",+46,"661,757","+2,785","19,171",267,"170,426","3,030","3,701,046","909,848","4,067,762 ",Europe,6,330,1,37,11,"4,713"
65,57,Guatemala,"625,127",,"16,096 ",,"607,841",,"1,190",5,"33,964",875,"3,247,587","176,444","18,405,723 ",North America,29,"1,143",6,,,65
66,58,Azerbaijan,"614,630",+511,"8,297 ",+13,"595,098","+1,178","11,235",,"59,821",808,"5,817,708","566,230","10,274,461 ",Asia,17,"1,238",2,50,1,"1,093"
67,59,S. Korea,"607,463","+5,418","5,245 ",+69,"494,205","+4,262","108,013","1,081","11,833",102,"15,804,065","307,864","51,334,533 ",Asia,85,"9,787",3,106,1,"2,104"
68,60,Sri Lanka,"583,649",+398,"14,884 ",+13,"559,436",+308,"9,329",,"27,088",691,"5,726,599","265,782","21,546,199 ",Asia,37,"1,448",4,18,0.6,433
69,61,Bolivia,"575,247",,"19,530 ",,"518,099",,"37,618",220,"48,305","1,640","2,633,963","221,181","11,908,636 ",South America,21,610,5,,,"3,159"
70,62,Costa Rica,"568,860",,"7,343 ",,"560,239",,"1,278",49,"110,181","1,422","2,911,504","563,920","5,162,977 ",North America,9,703,2,,,248
71,63,Saudi Arabia,"552,795",+389,"8,871 ",+1,"540,868",+124,"3,056",33,"15,521",249,"32,809,383","921,198","35,615,992 ",Asia,64,"4,015",1,11,0.03,86
72,64,Ecuador,"540,122",,"33,641 ",,"443,880",,"62,601",759,"29,941","1,865","2,103,013","116,579","18,039,425 ",South America,33,536,9,,,"3,470"
73,65,Myanmar,"529,613",+110,"19,254 ",+3,"507,210",+175,"3,149",,"9,638",350,"5,981,375","108,852","54,949,839 ",Asia,104,"2,854",9,2,0.05,57
74,66,Lithuania,"511,580",+673,"7,287 ",+19,"478,006",+274,"26,287",115,"191,890","2,733","6,550,328","2,456,981","2,666,007 ",Europe,5,366,0,252,7,"9,860"
75,67,Panama,"487,204",,"7,411 ",,"473,428",,"6,365",18,"110,346","1,678","4,413,125","999,518","4,415,253 ",North America,9,596,1,,,"1,442"
76,68,Paraguay,"465,233",,"16,599 ",,"447,548",,"1,086",47,"64,062","2,286","2,015,881","277,586","7,262,197 ",South America,16,438,4,,,150
77,69,Slovenia,"456,057",+676,"5,542 ",+7,"434,425",+779,"16,090",197,"219,326","2,665","2,053,764","987,690","2,079,361 ",Europe,5,375,1,325,3,"7,738"
78,70,Venezuela,"443,167",,"5,313 ",,"431,741",,"6,113",681,"15,650",188,"3,359,014","118,624","28,316,594 ",South America,64,"5,330",8,,,216
79,71,Palestine,"438,087",,"4,632 ",,"429,669",,"3,786",52,"83,023",878,"2,826,814","535,714","5,276,722 ",Asia,12,"1,139",2,,,717
80,72,Kuwait,"414,911",,"2,468 ",,"411,299",,"1,144",5,"95,075",566,"5,838,773","1,337,936","4,364,016 ",Asia,11,"1,768",1,,,262
81,73,Dominican Republic,"414,226",+339,"4,238 ",+1,"407,250",,"2,738",74,"37,626",385,"2,558,377","232,391","11,008,930 ",North America,27,"2,598",4,31,0.09,249
82,74,Uruguay,"407,099",,"6,163 ",,"397,006",,"3,930",23,"116,595","1,765","4,334,499","1,241,423","3,491,557 ",South America,9,567,1,,,"1,126"
83,75,Ethiopia,"398,696","+2,946","6,898 ",+4,"352,987",+856,"38,811",193,"3,346",58,"4,052,568","34,006","119,172,553 ",Africa,299,"17,276",29,25,0.03,326
84,76,Mongolia,"388,515",+204,"2,054 ",,"313,256",,"73,205",192,"115,754",612,"4,030,048","1,200,709","3,356,390 ",Asia,9,"1,634",1,61,,"21,811"
85,77,Libya,"385,398",+735,"5,651 ",+10,"373,506",+622,"6,241",,"54,982",806,"2,005,263","286,076","7,009,553 ",Africa,18,"1,240",3,105,1,890
86,78,Egypt,"380,520",,"21,571 ",,"316,656",,"42,293",90,"3,617",205,"3,693,367","35,112","105,188,973 ",Africa,276,"4,876",28,,,402
87,79,Honduras,"379,073",,"10,430 ",,"123,783",,"244,860",50,"37,393","1,029","1,135,703","112,028","10,137,656 ",North America,27,972,9,,,"24,154"
88,80,Moldova,"374,526",+177,"9,613 ",+8,"360,413",+202,"4,500",155,"93,164","2,391","2,326,057","578,610","4,020,076 ",Europe,11,418,2,44,2,"1,119"
89,81,Norway,"372,123",,"1,257 ",,"88,952",,"281,914",114,"67,856",229,"9,213,931","1,680,148","5,483,998 ",Europe,15,"4,363",1,,,"51,407"
90,82,Armenia,"344,481",+102,"7,943 ",+1,"330,593",+282,"5,945",,"115,930","2,673","2,535,650","853,339","2,971,445 ",Asia,9,374,1,34,0.3,"2,001"
91,83,Oman,"305,105",+47,"4,114 ",+1,"300,291",+56,700,3,"57,582",776,"25,000,000","4,718,251","5,298,573 ",Asia,17,"1,288",0,9,0.2,132
92,84,Australia,"301,280","+8,744","2,190 ",+2,"229,264",,"69,826",132,"11,615",84,"53,660,610","2,068,822","25,937,765 ",Australia/Oceania,86,"11,844",0,337,0.08,"2,692"
93,85,Bosnia and Herzegovina,"287,276",,"13,269 ",,"192,218",,"81,789",,"88,377","4,082","1,461,608","449,644","3,250,587 ",Europe,11,245,2,,,"25,161"
94,86,Kenya,"282,554","+1,196","5,361 ",+2,"249,996",+59,"27,197",17,"5,089",97,"2,990,670","53,864","55,522,443 ",Africa,197,"10,357",19,22,0.04,490
95,87,Bahrain,"279,518",,"1,394 ",,"276,808",,"1,316",1,"156,251",779,"7,897,334","4,414,619","1,788,905 ",Asia,6,"1,283",0,,,736
