,#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Cases/1M pop,Death1m,TotalTest,Test1MPeople,population,region,1CaseEveryXPPL,1DeathEveryXPPL,1TestEveryXPPL,temp,X,Y
1,,"
North America
","63,029,155","+10,415","1,235,079",+91,"49,696,842","+1,785","12,097,234","21,766",,,,,,North America,"
",,,,,
2,,"
Asia
","84,142,306","+59,222","1,248,809",+698,"81,469,165","+70,637","1,424,332","29,429",,,,,,Asia,"
",,,,,
3,,"
South America
","39,456,644","+1,170","1,190,542",+21,"37,402,821","+2,645","863,281","12,641",,,,,,South America,"
",,,,,
4,,"
Europe
","83,415,659","+148,636","1,509,232","+1,718","72,791,362","+173,314","9,115,065","22,582",,,,,,Europe,"
",,,,,
5,,"
Africa
","9,559,857","+15,189","227,749",+80,"8,554,843","+14,634","777,265","1,742",,,,,,Africa,"
",,,,,
6,,"
Oceania
","463,515","+8,814","4,450",+3,"374,304",+239,"84,761",176,,,,,,Australia/Oceania,"
",,,,,
7,,"

",721,,15,,706,,0,0,,,,,,,"
150,142,Togo,"27,992",,246 ,,"26,050",,"1,696",,"3,268",29,"607,752","70,953","8,565,548 ",Africa,306,"34,819",14,,,198
151,143,Barbados,"27,629",,260 ,,"26,380",,989,,"95,969",903,"464,644","1,613,930","287,896 ",North America,10,"1,107",1,,,"3,435"
152,144,Lesotho,"27,595",,665 ,,"14,803",,"12,127",,"12,732",307,"312,347","144,112","2,167,390 ",Africa,79,"3,259",7,,,"5,595"
153,145,Tanzania,"26,483",,734 ,,N/A,N/A,N/A,7,425,12,,,"62,248,035 ",Africa,"2,350","84,807",,,,411
154,146,Haiti,"25,950",,765 ,,"23,064",,"2,121",,"2,235",66,"132,422","11,408","11,608,241 ",North America,447,"15,174",88,,,183
155,147,Benin,"24,935",,161 ,,"24,705",,69,5,"1,980",13,"604,310","47,990","12,592,466 ",Africa,505,"78,214",21,,,5
156,148,Seychelles,"24,197",,131 ,,"23,742",,324,,"243,803","1,320",,,"99,248 ",Africa,4,758,,,,"3,265"
157,149,Burundi,"23,657",,38 ,,773,,"22,846",,"1,906",3,"345,742","27,851","12,413,947 ",Africa,525,"326,683",36,,,"1,840"
158,150,Channel Islands,"23,627",,112 ,,"20,939",,"2,576",,"134,065",636,"1,123,134","6,372,934","176,235 ",Europe,7,"1,574",0,,,"14,617"
159,151,Bahamas,"23,539",,713 ,,"21,745",,"1,081",2,"59,024","1,788","180,017","451,390","398,806 ",North America,17,559,2,,,"2,711"
160,152,Somalia,"23,532",,"1,333 ",,"12,948",,"9,251",,"1,422",81,"391,308","23,646","16,548,383 ",Africa,703,"12,414",42,,,559
161,153,Mauritius,"23,170",,762 ,,"21,714",,694,,"18,174",598,"358,675","281,337","1,274,894 ",Africa,55,"1,673",4,,,544
162,154,Iceland,"22,087",,37 ,,"19,428",,"2,622",3,"64,109",107,"1,331,380","3,864,427","344,522 ",Europe,16,"9,311",0,,,"7,611"
163,155,Andorra,"21,730",,139 ,,"19,870",,"1,721",31,"280,575","1,795","235,283","3,037,948","77,448 ",Europe,4,557,0,,,"22,221"
164,156,Mayotte,"21,391",,185 ,,"2,964",,"18,242",,"75,708",655,"176,919","626,162","282,545 ",Africa,13,"1,527",2,,,"64,563"
165,157,Mali,"20,011",,653 ,,"17,526",,"1,832",,948,31,"527,355","24,978","21,112,589 ",Africa,"1,055","32,332",40,,,87
166,158,Timor-Leste,"19,833",,122 ,,"19,704",,7,,"14,631",90,"225,317","166,214","1,355,583 ",Asia,68,"11,111",6,,,5
167,159,Congo,"19,490",,367 ,,"12,421",,"6,702",,"3,408",64,"301,494","52,719","5,718,841 ",Africa,293,"15,583",19,,,"1,172"
168,160,Curaçao,"18,884",,186 ,,"17,503",,"1,195",3,"114,388","1,127","379,686","2,299,915","165,087 ",North America,9,888,0,,,"7,239"
169,161,Aruba,"17,500",,181 ,,"16,565",,754,6,"162,886","1,685","177,885","1,655,715","107,437 ",North America,6,594,1,,,"7,018"
170,162,Nicaragua,"17,442",,211 ,,"4,225",,"13,006",,"2,587",31,,,"6,741,198 ",North America,386,"31,949",,,,"1,929"
171,163,Tajikistan,"17,095",,124 ,,"16,966",,5,,"1,735",13,,,"9,854,351 ",Asia,576,"79,471",,,,0.5
172,164,Burkina Faso,"17,040",,317 ,,"16,250",,473,,783,15,"239,193","10,997","21,750,231 ",Africa,"1,276","68,613",91,,,22
173,165,Taiwan,"16,915",+24,850 ,,"15,812",+10,253,,708,36,"9,118,614","381,842","23,880,616 ",Asia,"1,412","28,095",3,1,,11
174,166,Brunei ,"15,429",,98 ,,"15,189",,142,1,"34,775",221,"677,619","1,527,270","443,680 ",Asia,29,"4,527",1,,,320
175,167,South Sudan,"14,577",,135 ,,"12,717",,"1,725",2,"1,280",12,"292,582","25,692","11,387,952 ",Africa,781,"84,355",39,,,151
176,168,New Zealand,"13,855",+70,50 ,+1,"12,361",+239,"1,444",26,"2,770",10,"5,525,818","1,104,700","5,002,100 ",Australia/Oceania,361,"100,042",1,14,0.2,289
177,169,Equatorial Guinea,"13,630",,175 ,,"13,410",,45,1,"9,265",119,"263,190","178,912","1,471,055 ",Africa,108,"8,406",6,,,31
178,170,Djibouti,"13,572",+4,189 ,,"13,331",+5,52,,"13,448",187,"256,952","254,595","1,009,258 ",Africa,74,"5,340",4,4,,52
179,171,Isle of Man,"13,438",,67 ,,"12,771",,600,1,"156,805",782,"133,676","1,559,832","85,699 ",Europe,6,"1,279",1,,,"7,001"
180,172,Saint Lucia,"13,275",,295 ,,"12,829",,151,2,"71,807","1,596","105,961","573,165","184,870 ",North America,14,627,2,,,817
181,173,Hong Kong,"12,590",+9,213 ,,"12,189",,188,,"1,659",28,"29,687,335","3,912,909","7,587,024 ",Asia,603,"35,620",0,1,,25
182,174,New Caledonia,"12,581",,280 ,,"12,103",,198,4,"43,449",967,"42,756","147,658","289,561 ",Australia/Oceania,23,"1,034",7,,,684
183,175,CAR,"11,961",,101 ,,"6,859",,"5,001",2,"2,414",20,"74,519","15,042","4,953,979 ",Africa,414,"49,049",66,,,"1,009"
184,176,Yemen,"10,115",+4,"1,983 ",,"7,005",+3,"1,127",23,328,64,"265,253","8,613","30,797,162 ",Asia,"3,045","15,531",116,0.1,,37
185,177,Gambia,"10,087",,342 ,,"9,688",,57,4,"4,008",136,"131,044","52,064","2,516,982 ",Africa,250,"7,360",19,,,23
186,178,Cayman Islands,"8,386",,11 ,,"4,799",,"3,576",11,"125,419",165,"215,963","3,229,885","66,864 ",North America,8,"6,079",0,,,"53,482"
187,179,Gibraltar,"8,148",+5,100 ,,"7,484",,564,1,"241,953","2,969","443,639","13,173,744","33,676 ",Europe,4,337,0,148,,"16,748"
188,180,Eritrea,"7,873",,72 ,,"7,637",,164,,"2,175",20,"23,693","6,547","3,619,049 ",Africa,460,"50,265",153,,,45
189,181,San Marino,"7,526",,98 ,,"6,551",,877,5,"221,112","2,879","102,145","3,000,999","34,037 ",Europe,5,347,0,,,"25,766"
190,182,Niger,"7,268",,274 ,,"6,879",,115,2,285,11,"202,140","7,927","25,500,250 ",Africa,"3,509","93,067",126,,,5
191,183,Sierra Leone,"6,706",,123 ,,N/A,N/A,N/A,,816,15,"259,958","31,637","8,216,861 ",Africa,"1,225","66,804",32,,,263
192,184,Dominica,"6,520",,44 ,,"6,173",,303,,"90,241",609,"121,399","1,680,240","72,251 ",North America,11,"1,642",1,,,"4,194"
193,185,Guinea-Bissau,"6,463",+1,149 ,,"6,297",,17,,"3,173",73,"110,556","54,280","2,036,758 ",Africa,315,"13,670",18,0.5,,8
194,186,Bermuda,"6,014",,106 ,,"5,674",,234,,"97,099","1,711","685,295","11,064,388","61,937 ",North America,10,584,0,,,"3,778"
195,187,Grenada,"5,956",,200 ,,"5,681",,75,,"52,571","1,765","91,343","806,240","113,295 ",North America,19,566,1,,,662
196,188,Liechtenstein,"5,934",+39,69 ,,"5,438",,427,17,"154,975","1,802","80,413","2,100,104","38,290 ",Europe,6,555,0,"1,019",,"11,152"
197,189,Liberia,"5,929",,287 ,,"5,535",,107,2,"1,133",55,"139,824","26,718","5,233,406 ",Africa,883,"18,235",37,,,20
198,190,St. Vincent Grenadines,"5,828",,81 ,,"5,151",,596,7,"52,287",727,"93,622","839,945","111,462 ",North America,19,"1,376",1,,,"5,347"
199,191,Chad,"5,701",,181 ,,"4,874",,646,,333,11,"180,347","10,533","17,122,237 ",Africa,"3,003","94,598",95,,,38
200,192,Comoros,"5,603",+124,153 ,,"4,439",+5,"1,011",,"6,246",171,,,"896,990 ",Africa,160,"5,863",,138,,"1,127"
201,193,Faeroe Islands,"5,149",+4,13 ,,"4,722",+35,414,5,"104,787",265,"632,000","12,861,736","49,138 ",Europe,10,"3,780",0,81,,"8,425"
202,194,Sint Maarten,"4,774",,75 ,,"4,598",,101,10,"109,505","1,720","62,056","1,423,433","43,596 ",North America,9,581,1,,,"2,317"
203,195,Monaco,"4,750",,38 ,,"4,325",,387,4,"119,786",958,"54,960","1,385,989","39,654 ",Europe,8,"1,044",1,,,"9,759"
204,196,Antigua and Barbuda,"4,236",,118 ,,"4,059",,59,1,"42,732","1,190","18,559","187,221","99,129 ",North America,23,840,5,,,595
205,197,Saint Martin,"4,008",,56 ,,"1,399",,"2,553",7,"101,107","1,413","78,366","1,976,893","39,641 ",North America,10,708,1,,,"64,403"
206,198,Sao Tome and Principe,"3,758",+3,57 ,,"3,676",,25,,"16,689",253,"29,036","128,947","225,178 ",Africa,60,"3,950",8,13,,111
207,199,Caribbean Netherlands,"3,272",,23 ,,"3,147",,102,,"123,082",865,"30,126","1,133,238","26,584 ",North America,8,"1,156",1,,,"3,837"
208,200,Turks and Caicos,"3,235",,26 ,,"3,107",,102,,"81,915",658,"94,789","2,400,208","39,492 ",North America,12,"1,519",0,,,"2,583"
209,201,British Virgin Islands,"3,016",,39 ,,N/A,N/A,N/A,7,"98,791","1,277","82,570","2,704,641","30,529 ",North America,10,783,0,,,"10,744"
210,202,Saint Kitts and Nevis,"2,843",+7,28 ,,"2,774",,41,1,"52,887",521,"58,155","1,081,833","53,756 ",North America,19,"1,920",1,130,,763
211,203,Bhutan,"2,660",+1,3 ,,"2,642",,15,,"3,392",4,"1,281,846","1,634,626","784,183 ",Asia,295,"261,394",1,1,,19
212,204,Greenland,"2,249",, ,,"1,875",,374,2,"39,514",,"132,563","2,329,099","56,916 ",North America,25,,0,,,"6,571"
213,205,Anguilla,"1,646",,5 ,,"1,605",,36,,"108,282",329,"51,382","3,380,172","15,201 ",North America,9,"3,040",0,,,"2,368"
214,206,St. Barth,"1,621",,6 ,,N/A,N/A,N/A,,"163,374",605,"56,491","5,693,509","9,922 ",North America,6,"1,654",0,,,"116,206"
215,207,Diamond Princess,712,,13 ,,699,,0,,,,,, ,,,,,,,
216,208,Wallis and Futuna,454,,7 ,,438,,9,,"41,473",639,"20,508","1,873,390","10,947 ",Australia/Oceania,24,"1,564",1,,,822
217,209,Saint Pierre Miquelon,98,, ,,78,,20,,"17,038",,"13,891","2,414,986","5,752 ",North America,59,,0,,,"3,477"
218,210,Falkland Islands,83,, ,,N/A,N/A,N/A,,"22,865",,"8,316","2,290,909","3,630 ",South America,44,,0,,,
219,211,Macao,77,, ,,77,,0,,116,,"5,019","7,577","662,433 ",Asia,"8,603",,132,,,
220,212,Montserrat,45,,1 ,,43,,1,,"9,007",200,"3,230","646,517","4,996 ",North America,111,"4,996",2,,,200
221,213,Vatican City,27,, ,,27,,0,,"33,582",,,,804 ,Europe,30,,,,,
222,214,Solomon Islands,20,, ,,20,,0,,28,,"4,500","6,322","711,781 ",Australia/Oceania,"35,589",,158,,,
223,215,Western Sahara,10,,1  ,,8,,1,,16,2,,,"619,046 ",Africa,"61,905","619,046",,,,2
224,216,MS Zaandam,9,,2 ,,7,,0,,,,,, ,,,,,,,
225,217,Palau,8,, ,,8,,0,,439,,"14,878","816,486","18,222 ",Australia/Oceania,"2,278",,1,,,
226,218,Vanuatu,7,,1 ,,6,,0,,22,3,"23,000","72,383","317,755 ",Australia/Oceania,"45,394","317,755",14,,,
227,219,Marshall Islands,4,, ,,4,,0,,67,,,,"59,781 ",Australia/Oceania,"14,945",,,,,
228,220,Samoa,3,, ,,3,,0,,15,,,,"200,366 ",Australia/Oceania,"66,789",,,,,
229,221,Saint Helena,2,, ,,2,,0,,328,,,,"6,104 ",Africa,"3,052",,,,,
230,222,Micronesia,1,, ,,1,,0,,9,,,,"116,808 ",Australia/Oceania,"116,808",,,,,
231,223,Tonga,1,, ,,1,,0,,9,,,,"107,468 ",Australia/Oceania,"107,468",,,,,
232,224,China,"101,077",+206,"4,636 ",,"94,430",+76,"2,011",9,70,3,"160,000,000","111,163","1,439,323,776 ",Asia,"14,240","310,467",9,0.1,,1
233,,Total:,"63,029,155","+10,415","1,235,079",+91,"49,696,842","+1,785","12,097,234","21,766",,,,,,North America, ,,,,,
234,,Total:,"84,142,306","+59,222","1,248,809",+698,"81,469,165","+70,637","1,424,332","29,429",,,,,,Asia, ,,,,,
235,,Total:,"39,456,644","+1,170","1,190,542",+21,"37,402,821","+2,645","863,281","12,641",,,,,,South America, ,,,,,
236,,Total:,"83,415,659","+148,636","1,509,232","+1,718","72,791,362","+173,314","9,115,065","22,582",,,,,,Europe, ,,,,,
237,,Total:,"9,559,857","+15,189","227,749",+80,"8,554,843","+14,634","777,265","1,742",,,,,,Africa, ,,,,,
238,,Total:,"463,515","+8,814","4,450",+3,"374,304",+239,"84,761",176,,,,,,Australia/Oceania, ,,,,,
239,,Total:,721,,15,,706,,0,0,,,,,,, ,,,,,
240,,Total:,"280,067,857","+243,446","5,415,876","+2,611","250,290,043","+263,254","24,361,938","88,336","35,930.1",694.8,,,,All,"
",,,,,
241,,,,,,,,,,,,,,,,,,,,,,
242,,"
Asia
","84,083,084","+71,506","1,248,111","+1,127","81,398,528","+69,779","1,436,445","29,646",,,,,,Asia,"
",,,,,
243,,"
North America
","63,018,740","+49,335","1,234,988",+304,"49,695,057","+11,023","12,088,695","21,772",,,,,,North America,"
",,,,,
244,,"
South America
","39,455,474","+24,727","1,190,521",+166,"37,400,176","+11,839","864,777","12,644",,,,,,South America,"
",,,,,
245,,"
Europe
","83,267,023","+297,131","1,507,514","+2,366","72,618,048","+245,517","9,141,461","22,616",,,,,,Europe,"
",,,,,
246,,"
Africa
","9,544,668","+40,834","227,669",+169,"8,540,209","+17,558","776,790","1,743",,,,,,Africa,"
",,,,,
247,,"
Oceania
","454,701","+10,013","4,447",+6,"374,065",,"76,189",170,,,,,,Australia/Oceania,"
",,,,,
248,,"

",721,,15,,706,,0,0,,,,,,,"
",,,,,
249,,World,"279,824,411","+493,546","5,413,265","+4,138","250,026,789","+355,716","24,384,357","88,591","35,899",694.5,,,,All,"
",,,,,
250,1,China,"100,871",+140,"4,636 ",,"94,354",+110,"1,881",9,70,3,"160,000,000","111,163","1,439,323,776 ",Asia,"14,269","310,467",9,0.10,,1
251,2,USA,"53,026,765","+40,458","837,779 ",+108,"41,001,184","+6,934","11,187,802","16,104","158,821","2,509","798,517,464","2,391,655","333,876,557 ",North America,6,399,0,121,0.3,"33,509"
252,3,India,"34,786,802","+6,987","479,682 ",+162,"34,223,263","+7,286","83,857","8,944","24,846",343,"671,051,627","479,293","1,400,087,391 ",Asia,40,"2,919",2,5,0.1,60
253,4,Brazil,"22,234,626","+3,889","618,457 ",+28,"21,414,318",,"201,851","8,318","103,515","2,879","63,776,166","296,914","214,796,423 ",South America,10,347,3,18,0.1,940
254,5,UK,"11,891,292",,"147,857 ",,"9,961,369",,"1,782,066",842,"173,814","2,161","395,579,689","5,782,142","68,414,037 ",Europe,6,463,0,,,"26,048"
255,6,Russia,"10,368,299","+24,946","303,250 ",+981,"9,222,486","+42,107","842,563","2,300","71,003","2,077","237,800,000","1,628,464","146,027,142 ",Europe,14,482,1,171,7,"5,770"
256,7,Turkey,"9,286,986","+20,470","81,403 ",+145,"8,922,510","+22,109","283,073","1,128","108,389",950,"116,501,775","1,359,695","85,682,302 ",Asia,9,"1,053",1,239,2,"3,304"
257,8,France,"9,088,371","+104,611","122,546 ",+84,"7,794,802","+42,085","1,171,023","3,254","138,780","1,871","182,873,794","2,792,503","65,487,413 ",Europe,7,534,0,"1,597",1,"17,882"
258,9,Germany,"6,999,476","+17,248","111,025 ",+117,"6,087,300","+38,500","801,151","4,636","83,148","1,319","89,622,218","1,064,641","84,180,671 ",Europe,12,758,1,205,1,"9,517"
259,10,Iran,"6,182,905","+1,121","131,348 ",+42,"6,024,211","+2,061","27,346","2,781","72,244","1,535","41,388,312","483,599","85,583,878 ",Asia,14,652,2,13,0.5,320
260,11,Spain,"5,718,007",,"89,019 ",,"5,002,310",,"626,678","1,515","122,228","1,903","66,213,858","1,415,383","46,781,600 ",Europe,8,526,1,,,"13,396"
261,12,Italy,"5,622,430","+54,761","136,530 ",+144,"4,985,435","+14,851","500,465","1,071","93,194","2,263","135,138,103","2,239,977","60,330,139 ",Europe,11,442,0,908,2,"8,295"
262,13,Argentina,"5,452,419","+7,183","117,020 ",+12,"5,259,080","+5,375","76,319",809,"119,023","2,554","27,433,892","598,867","45,809,690 ",South America,8,391,2,157,0.3,"1,666"
263,14,Colombia,"5,121,668","+3,414","129,729 ",+43,"4,957,334","+1,795","34,605",342,"99,093","2,510","29,255,860","566,035","51,685,618 ",South America,10,398,2,66,0.8,670
264,15,Indonesia,"4,261,667",+255,"144,053 ",+6,"4,112,901",+195,"4,713",,"15,341",519,"61,840,900","222,606","277,804,630 ",Asia,65,"1,928",4,0.9,0.02,17
265,16,Poland,"4,043,586","+10,789","94,311 ",+269,"3,543,828","+21,012","405,447","2,046","107,015","2,496","26,681,046","706,124","37,785,215 ",Europe,9,401,1,286,7,"10,730"
266,17,Mexico,"3,947,284","+3,520","298,670 ",+162,"3,297,421","+1,988","351,193","4,798","30,146","2,281","12,257,778","93,615","130,937,770 ",North America,33,438,11,27,1,"2,682"
267,18,Ukraine,"3,642,314","+5,276","94,700 ",+268,"3,423,933","+15,639","123,681",177,"84,032","2,185","16,656,395","384,279","43,344,526 ",Europe,12,458,3,122,6,"2,853"
268,19,South Africa,"3,407,937","+14,828","90,773 ",+30,"3,102,717","+7,815","214,447",546,"56,409","1,502","21,038,633","348,234","60,415,283 ",Africa,18,666,3,245,0.5,"3,550"
269,20,Netherlands,"3,053,124","+12,564","20,705 ",+44,"2,513,476","+22,144","518,943",537,"177,600","1,204","19,205,114","1,117,160","17,191,020 ",Europe,6,830,1,731,3,"30,187"
270,21,Philippines,"2,838,207",+259,"51,187 ",+137,"2,777,635",+186,"9,385",899,"25,400",458,"24,937,631","223,177","111,739,317 ",Asia,39,"2,183",4,2,1,84
271,22,Malaysia,"2,738,401","+3,160","31,315 ",+25,"2,661,495","+4,421","45,591",324,"83,033",950,"40,469,185","1,227,095","32,979,665 ",Asia,12,"1,053",1,96,0.8,"1,382"
272,23,Czechia,"2,444,655","+2,046","35,729 ",+53,"2,259,511",+255,"149,415",736,"227,655","3,327","46,599,494","4,339,518","10,738,404 ",Europe,4,301,0,191,5,"13,914"
273,24,Peru,"2,278,807","+5,922","202,488 ",+34,N/A,N/A,N/A,875,"67,718","6,017","21,507,541","639,126","33,651,475 ",South America,15,166,2,176,1,"10,569"
274,25,Thailand,"2,207,438","+2,766","21,558 ",+30,"2,148,757","+3,805","37,123",899,"31,508",308,"17,270,775","246,516","70,059,358 ",Asia,32,"3,250",4,39,0.4,530
275,26,Iraq,"2,092,312",+156,"24,122 ",+7,"2,062,648",+401,"5,542",84,"50,348",580,"16,756,695","403,223","41,556,890 ",Asia,20,"1,723",2,4,0.2,133
276,27,Belgium,"2,038,111","+7,233","28,149 ",+39,"1,595,493",,"414,469",660,"174,730","2,413","26,828,439","2,300,045","11,664,312 ",Europe,6,414,0,620,3,"35,533"
277,28,Canada,"1,959,518","+2,458","30,143 ",+4,"1,817,744",+792,"111,631",455,"51,253",788,"51,486,352","1,346,681","38,232,022 ",North America,20,"1,268",1,64,0.1,"2,920"
278,29,Romania,"1,802,396",+598,"58,536 ",+27,"1,732,003","+1,009","11,857",466,"94,626","3,073","16,892,303","886,848","19,047,572 ",Europe,11,325,1,31,1,622
279,30,Chile,"1,799,125","+1,494","39,013 ",+29,"1,712,785","+2,640","47,327",555,"92,934","2,015","27,075,787","1,398,607","19,359,116 ",South America,11,496,1,77,1,"2,445"
280,31,Japan,"1,731,199",+294,"18,386 ",,"1,710,944",+122,"1,869",37,"13,750",146,"29,092,674","231,072","125,902,937 ",Asia,73,"6,848",4,2,,15
281,32,Vietnam,"1,636,455","+15,586","31,007 ",+241,"1,229,684","+14,423","375,764","7,762","16,591",314,"73,824,334","748,459","98,635,054 ",Asia,60,"3,181",1,158,2,"3,810"
282,33,Bangladesh,"1,582,985",+275,"28,056 ",+1,"1,547,180",+224,"7,749","1,352","9,472",168,"11,375,953","68,071","167,118,031 ",Asia,106,"5,957",15,2,0.01,46
283,34,Israel,"1,363,831","+1,561","8,242 ",+1,"1,343,680",+739,"11,909",93,"146,240",884,"37,547,800","4,026,142","9,326,000 ",Asia,7,"1,132",0,167,0.1,"1,277"
284,35,Pakistan,"1,293,081",+353,"28,905 ",+7,"1,254,413",+112,"9,763",624,"5,690",127,"23,096,757","101,642","227,235,429 ",Asia,176,"7,861",10,2,0.03,43
285,36,Serbia,"1,289,493","+1,098","12,568 ",+24,"1,254,568","+1,858","22,357",102,"148,470","1,447","7,149,667","823,198","8,685,237 ",Europe,7,691,1,126,3,"2,574"
286,37,Portugal,"1,276,053","+10,016","18,861 ",+10,"1,157,598","+2,359","99,594",152,"125,686","1,858","25,114,814","2,473,715","10,152,669 ",Europe,8,538,0,987,1.0,"9,810"
287,38,Sweden,"1,273,313",,"15,229 ",,"1,181,462","+2,107","76,622",92,"124,926","1,494","14,208,757","1,394,040","10,192,504 ",Europe,8,669,1,,,"7,517"
288,39,Austria,"1,262,836","+2,085","13,626 ",+9,"1,218,605","+3,638","30,605",390,"139,041","1,500","119,923,778","13,203,848","9,082,487 ",Europe,7,667,0,230,1.0,"3,370"
289,40,Hungary,"1,237,330",,"38,307 ",,"1,071,772",,"127,251",454,"128,567","3,980","9,058,668","941,257","9,624,016 ",Europe,8,251,1,,,"13,222"
290,41,Switzerland,"1,221,424",,"12,128 ",,"959,064","+7,973","250,232",302,"139,618","1,386","13,812,799","1,578,908","8,748,325 ",Europe,7,721,1,,,"28,603"
291,42,Greece,"1,070,833","+6,590","20,350 ",+58,"986,631","+3,952","63,852",617,"103,486","1,967","45,162,221","4,364,497","10,347,634 ",Europe,10,508,0,637,6,"6,171"
292,43,Jordan,"1,051,421","+1,164","12,444 ",+41,"993,692","+2,667","45,285","1,077","101,556","1,202","13,308,004","1,285,417","10,353,065 ",Asia,10,832,1,112,4,"4,374"
293,44,Kazakhstan,"985,458",+442,"12,969 ",+9,"956,634",+588,"15,855",528,"51,570",679,"11,575,012","605,733","19,109,097 ",Asia,19,"1,473",2,23,0.5,830
294,45,Cuba,"964,607",+125,"8,320 ",+3,"955,798",+57,489,10,"85,240",735,"11,536,661","1,019,466","11,316,376 ",North America,12,"1,360",1,11,0.3,43
295,46,Morocco,"955,587",+734,"14,827 ",+2,"937,578",+208,"3,182",103,"25,443",395,"10,747,683","286,162","37,558,035 ",Africa,39,"2,533",3,20,0.05,85
296,47,Georgia,"922,707","+2,090","13,443 ",+76,"878,022","+1,768","31,242",,"231,963","3,379","12,692,259","3,190,753","3,977,825 ",Asia,4,296,0,525,19,"7,854"
297,48,Nepal,"827,058",+157,"11,583 ",+1,"810,497",+226,"4,978",114,"27,650",387,"4,813,350","160,917","29,911,932 ",Asia,36,"2,582",6,5,0.03,166
298,49,Slovakia,"825,246","+1,074","16,336 ",+46,"753,654","+5,781","55,256",482,"151,045","2,990","5,034,867","921,536","5,463,559 ",Europe,7,334,1,197,8,"10,114"
299,50,UAE,"749,530","+1,621","2,156 ",+1,"740,707",+585,"6,667",,"74,452",214,"108,951,396","10,822,358","10,067,251 ",Asia,13,"4,669",0,161,0.10,662
300,51,Bulgaria,"733,882",+743,"30,528 ",+52,"605,547",+201,"97,807",451,"106,809","4,443","7,288,944","1,060,835","6,870,953 ",Europe,9,225,1,108,8,"14,235"
301,52,Tunisia,"722,795",+352,"25,523 ",+7,"695,094",+180,"2,178",79,"60,225","2,127","3,317,178","276,393","12,001,662 ",Africa,17,470,4,29,0.6,181
302,53,Lebanon,"711,259","+2,017","9,027 ",+15,"652,174",,"50,058",186,"104,903","1,331","4,795,578","707,295","6,780,167 ",Asia,10,751,1,297,2,"7,383"
303,54,Ireland,"705,322","+13,765","5,890 ",,"541,019","+4,763","158,413",87,"140,519","1,173","9,736,837","1,939,833","5,019,421 ",Europe,7,852,1,"2,742",,"31,560"
304,55,Croatia,"693,102","+3,271","12,279 ",+47,"658,972","+3,217","21,851",254,"170,389","3,019","3,700,009","909,593","4,067,762 ",Europe,6,331,1,804,12,"5,372"
305,56,Belarus,"692,601","+1,529","5,484 ",+18,"685,039","+1,636","2,078",,"73,332",581,"10,938,594","1,158,170","9,444,719 ",Europe,14,"1,722",1,162,2,220
306,57,Denmark,"685,408","+9,564","3,197 ",+10,"545,213","+5,592","136,998",73,"117,719",549,"104,669,714","17,977,052","5,822,407 ",Europe,8,"1,821",0,"1,643",2,"23,529"
307,58,Guatemala,"625,127",+98,"16,096 ",+1,"607,841",+72,"1,190",5,"33,964",875,"3,247,587","176,444","18,405,723 ",North America,29,"1,143",6,5,0.05,65
308,59,Azerbaijan,"614,119",+501,"8,284 ",+15,"593,920","+1,092","11,915",,"59,771",806,"5,808,380","565,322","10,274,461 ",Asia,17,"1,240",2,49,1,"1,160"
309,60,S. Korea,"602,045","+5,836","5,176 ",+105,"489,943","+4,222","106,926","1,105","11,728",101,"15,804,065","307,864","51,334,533 ",Asia,85,"9,918",3,114,2,"2,083"
310,61,Sri Lanka,"583,251",+529,"14,871 ",+19,"559,128",+278,"9,252",,"27,070",690,"5,726,599","265,782","21,546,199 ",Asia,37,"1,449",4,25,0.9,429
311,62,Bolivia,"575,247","+2,129","19,530 ",+14,"518,099","+1,492","37,618",220,"48,305","1,640","2,633,963","221,181","11,908,636 ",South America,21,610,5,179,1,"3,159"
312,63,Costa Rica,"568,860",,"7,343 ",,"560,239",,"1,278",49,"110,181","1,422","2,911,504","563,920","5,162,977 ",North America,9,703,2,,,248
313,64,Saudi Arabia,"552,406",+325,"8,870 ",+1,"540,744",+117,"2,792",32,"15,510",249,"32,743,008","919,334","35,615,992 ",Asia,64,"4,015",1,9,0.03,78
314,65,Ecuador,"540,122",,"33,641 ",,"443,880",,"62,601",759,"29,941","1,865","2,103,013","116,579","18,039,425 ",South America,33,536,9,,,"3,470"
315,66,Myanmar,"529,503",+176,"19,251 ",+3,"507,035",+271,"3,217",,"9,636",350,"5,973,823","108,714","54,949,839 ",Asia,104,"2,854",9,3,0.05,59
316,67,Lithuania,"510,907","+1,267","7,268 ",+17,"477,732",+368,"25,907",116,"191,638","2,726","6,545,952","2,455,339","2,666,007 ",Europe,5,367,0,475,6,"9,718"
317,68,Panama,"487,204",+827,"7,411 ",+2,"473,428",+318,"6,365",18,"110,346","1,678","4,413,125","999,518","4,415,253 ",North America,9,596,1,187,0.5,"1,442"
318,69,Paraguay,"465,233",+103,"16,599 ",+1,"447,548",+72,"1,086",47,"64,062","2,286","2,015,881","277,586","7,262,197 ",South America,16,438,4,14,0.1,150
319,70,Slovenia,"455,381","+1,081","5,535 ",+6,"433,646","+1,473","16,200",202,"219,000","2,662","2,051,607","986,653","2,079,361 ",Europe,5,376,1,520,3,"7,791"
